,datetime,temperature,windspeed,wind_direction,humidity,sunlight,sunlight_QC,radiation,total_cloud,medium_low_cloud,minimum_ceiling_cloud,visibility,ground_temperature,underground_temperature,hour,generation
0,2017-01-01 1:00,5.0,1.8,160.0,93.0,0.0,9.0,0.0,0.0,5.0,12.0,735,3.2,5.7,1.0,0.0
1,2017-01-01 2:00,4.1,0.8,140.0,93.0,0.0,9.0,0.0,0.0,6.0,11.0,788,2.2,5.2,2.0,0.0
2,2017-01-01 3:00,3.3,1.5,160.0,94.0,0.0,9.0,0.0,0.0,0.0,0.0,800,1.7,4.8,3.0,0.0
3,2017-01-01 4:00,2.5,1.8,160.0,95.0,0.0,9.0,0.0,0.0,0.0,0.0,706,1.2,4.5,4.0,0.0
4,2017-01-01 5:00,2.1,1.8,160.0,97.0,0.0,9.0,0.0,0.0,0.0,0.0,665,1.0,4.2,5.0,0.0
5,2017-01-01 6:00,1.7,1.5,160.0,98.0,0.0,9.0,0.0,2.0,2.0,10.0,486,1.2,4.0,6.0,0.0
6,2017-01-01 7:00,2.0,2.4,160.0,98.0,0.0,9.0,0.0,7.0,7.0,10.0,615,2.3,3.9,7.0,0.0
7,2017-01-01 8:00,2.4,1.4,160.0,98.0,0.0,0.0,0.0,8.0,8.0,10.0,621,3.0,4.1,8.0,0.0
8,2017-01-01 9:00,3.0,1.3,160.0,98.0,0.0,0.0,0.11,7.0,7.0,10.0,612,4.7,4.4,9.0,547200.0
9,2017-01-01 10:00,4.4,1.8,160.0,90.0,0.2,0.0,0.47,6.0,6.0,10.0,712,8.4,4.8,10.0,3484800.0
10,2017-01-01 11:00,6.0,0.9,160.0,83.0,0.2,0.0,0.78,6.0,6.0,10.0,823,11.3,5.6,11.0,3350400.0
11,2017-01-01 12:00,9.3,1.5,180.0,68.0,1.0,0.0,1.34,2.0,2.0,10.0,1017,10.5,6.3,12.0,7929600.0
12,2017-01-01 13:00,9.6,1.2,270.0,67.0,1.0,0.0,1.53,0.0,0.0,0.0,1925,11.7,7.0,13.0,8697600.0
13,2017-01-01 14:00,10.2,1.5,290.0,66.0,1.0,0.0,1.46,0.0,0.0,0.0,1618,12.1,7.6,14.0,8236800.0
14,2017-01-01 15:00,10.8,1.0,110.0,65.0,1.0,0.0,1.23,0.0,0.0,0.0,1955,10.8,8.0,15.0,7344000.0
15,2017-01-01 16:00,11.1,1.6,340.0,66.0,1.0,0.0,0.82,0.0,0.0,0.0,2000,11.3,8.2,16.0,5155200.0
16,2017-01-01 17:00,10.2,1.6,360.0,69.0,1.0,0.0,0.38,0.0,0.0,0.0,1959,7.4,8.2,17.0,2131200.0
17,2017-01-01 18:00,8.5,0.9,20.0,77.0,0.2,0.0,0.04,0.0,0.0,0.0,1425,4.9,7.8,18.0,134400.0
18,2017-01-01 19:00,7.6,1.1,290.0,81.0,0.0,9.0,0.0,0.0,0.0,0.0,1031,4.2,7.2,19.0,0.0
19,2017-01-01 20:00,6.7,1.7,230.0,92.0,0.0,9.0,0.0,0.0,0.0,0.0,1020,3.7,6.7,20.0,0.0
20,2017-01-01 21:00,6.4,1.0,250.0,96.0,0.0,9.0,0.0,0.0,0.0,0.0,1101,3.3,6.3,21.0,0.0
21,2017-01-01 22:00,5.9,0.4,0.0,98.0,0.0,9.0,0.0,0.0,0.0,0.0,743,2.8,6.0,22.0,0.0
22,2017-01-01 23:00,5.1,1.1,230.0,98.0,0.0,9.0,0.0,0.0,0.0,0.0,567,2.4,5.6,23.0,0.0
23,2017-01-02 0:00,5.3,0.9,140.0,92.0,0.0,9.0,0.0,5.0,4.0,10.0,849,4.3,5.6,0.0,0.0
24,2017-01-02 1:00,5.2,1.0,160.0,98.0,0.0,9.0,0.0,0.0,10.0,26.0,537,4.7,5.7,1.0,0.0
25,2017-01-02 2:00,5.3,0.8,140.0,98.0,0.0,9.0,0.0,10.0,5.0,8.0,475,4.9,5.8,2.0,0.0
26,2017-01-02 3:00,5.1,1.0,160.0,98.0,0.0,9.0,0.0,10.0,5.0,10.0,345,4.9,5.9,3.0,0.0
27,2017-01-02 4:00,5.2,1.0,20.0,98.0,0.0,9.0,0.0,10.0,4.0,11.0,390,5.0,5.9,4.0,0.0
28,2017-01-02 5:00,5.2,1.7,140.0,98.0,0.0,9.0,0.0,8.0,4.0,9.0,616,5.1,6.0,5.0,0.0
29,2017-01-02 6:00,5.4,0.4,0.0,92.0,0.0,9.0,0.0,8.0,4.0,17.0,663,5.0,6.0,6.0,0.0
30,2017-01-02 7:00,5.4,0.9,140.0,90.0,0.0,9.0,0.0,8.0,8.0,16.0,722,5.1,6.0,7.0,0.0
31,2017-01-02 8:00,5.6,1.4,140.0,90.0,0.0,0.0,0.0,10.0,2.0,19.0,642,4.8,6.0,8.0,0.0
32,2017-01-02 9:00,5.9,1.1,110.0,89.0,0.0,0.0,0.13,9.0,9.0,26.0,524,5.9,6.0,9.0,345600.0
33,2017-01-02 10:00,7.7,0.4,0.0,77.0,0.9,0.0,0.62,3.0,0.0,0.0,766,10.5,6.3,10.0,1948800.0
34,2017-01-02 11:00,9.7,2.6,180.0,76.0,0.9,0.0,1.02,5.0,5.0,14.0,656,10.0,7.0,11.0,6211200.0
35,2017-01-02 12:00,11.0,0.8,340.0,68.0,1.0,0.0,1.4,0.0,0.0,0.0,829,11.2,7.6,12.0,7334400.0
36,2017-01-02 13:00,12.2,1.7,20.0,64.0,1.0,0.0,1.65,6.0,6.0,15.0,1453,13.9,8.4,13.0,8332800.0
37,2017-01-02 14:00,12.3,2.4,290.0,67.0,1.0,0.0,1.43,0.0,0.0,0.0,1525,14.1,9.0,14.0,7286400.0
38,2017-01-02 15:00,12.2,3.4,320.0,73.0,1.0,0.0,1.15,3.0,3.0,20.0,1981,12.6,9.4,15.0,6355200.0
39,2017-01-02 16:00,11.2,4.4,320.0,83.0,0.6,0.0,0.73,2.0,2.0,7.0,1977,12.3,9.6,16.0,4512000.0
40,2017-01-02 17:00,10.5,2.5,340.0,88.0,0.0,0.0,0.24,5.0,5.0,14.0,1457,10.0,9.6,17.0,1584000.0
41,2017-01-02 18:00,9.3,1.5,360.0,97.0,0.0,0.0,0.02,1.0,1.0,10.0,1097,7.1,9.2,18.0,76800.0
42,2017-01-02 19:00,8.5,2.4,340.0,98.0,0.0,9.0,0.0,0.0,1.0,4.0,769,7.2,8.6,19.0,0.0
43,2017-01-02 20:00,8.2,1.7,340.0,98.0,0.0,9.0,0.0,0.0,5.0,10.0,469,6.9,8.4,20.0,0.0
44,2017-01-02 21:00,7.8,3.1,340.0,98.0,0.0,9.0,0.0,4.0,4.0,4.0,387,6.0,8.1,21.0,0.0
45,2017-01-02 22:00,7.1,3.0,340.0,98.0,0.0,9.0,0.0,0.0,9.0,4.0,240,5.4,7.9,22.0,0.0
46,2017-01-02 23:00,6.7,3.0,340.0,98.0,0.0,9.0,0.0,0.0,9.0,5.0,230,5.5,7.6,23.0,0.0
47,2017-01-03 0:00,5.7,2.1,360.0,98.0,0.0,9.0,0.0,3.0,3.0,0.0,168,4.5,7.3,0.0,0.0
48,2017-01-03 1:00,5.6,3.3,340.0,97.0,0.0,9.0,0.0,0.0,9.0,6.0,165,4.4,7.0,1.0,0.0
49,2017-01-03 2:00,5.7,3.7,340.0,93.0,0.0,9.0,0.0,0.0,9.0,6.0,175,4.5,6.8,2.0,0.0
