,datetime,temperature,windspeed,wind_direction,humidity,hour,generation
0,2017-01-01 1:00,5.0,1.8,160.0,93.0,1.0,0.0
1,2017-01-01 2:00,4.1,0.8,140.0,93.0,2.0,0.0
2,2017-01-01 3:00,3.3,1.5,160.0,94.0,3.0,0.0
3,2017-01-01 4:00,2.5,1.8,160.0,95.0,4.0,0.0
4,2017-01-01 5:00,2.1,1.8,160.0,97.0,5.0,0.0
5,2017-01-01 6:00,1.7,1.5,160.0,98.0,6.0,0.0
6,2017-01-01 7:00,2.0,2.4,160.0,98.0,7.0,0.0
7,2017-01-01 8:00,2.4,1.4,160.0,98.0,8.0,0.0
8,2017-01-01 9:00,3.0,1.3,160.0,98.0,9.0,547200.0
9,2017-01-01 10:00,4.4,1.8,160.0,90.0,10.0,3484800.0
10,2017-01-01 11:00,6.0,0.9,160.0,83.0,11.0,3350400.0
11,2017-01-01 12:00,9.3,1.5,180.0,68.0,12.0,7929600.0
12,2017-01-01 13:00,9.6,1.2,270.0,67.0,13.0,8697600.0
13,2017-01-01 14:00,10.2,1.5,290.0,66.0,14.0,8236800.0
14,2017-01-01 15:00,10.8,1.0,110.0,65.0,15.0,7344000.0
15,2017-01-01 16:00,11.1,1.6,340.0,66.0,16.0,5155200.0
16,2017-01-01 17:00,10.2,1.6,360.0,69.0,17.0,2131200.0
17,2017-01-01 18:00,8.5,0.9,20.0,77.0,18.0,134400.0
18,2017-01-01 19:00,7.6,1.1,290.0,81.0,19.0,0.0
19,2017-01-01 20:00,6.7,1.7,230.0,92.0,20.0,0.0
20,2017-01-01 21:00,6.4,1.0,250.0,96.0,21.0,0.0
21,2017-01-01 22:00,5.9,0.4,0.0,98.0,22.0,0.0
22,2017-01-01 23:00,5.1,1.1,230.0,98.0,23.0,0.0
23,2017-01-02 0:00,5.3,0.9,140.0,92.0,0.0,0.0
24,2017-01-02 1:00,5.2,1.0,160.0,98.0,1.0,0.0
25,2017-01-02 2:00,5.3,0.8,140.0,98.0,2.0,0.0
26,2017-01-02 3:00,5.1,1.0,160.0,98.0,3.0,0.0
27,2017-01-02 4:00,5.2,1.0,20.0,98.0,4.0,0.0
28,2017-01-02 5:00,5.2,1.7,140.0,98.0,5.0,0.0
29,2017-01-02 6:00,5.4,0.4,0.0,92.0,6.0,0.0
